BidID,Cost,ReceivedByEmployeeID
7675146465438,94240,22560544
6364156520084,72042,10122280
8507788693551,37895,07743672
4755915011912,67448,29893829
0935375432685,63565,23221352
6821428158906,72964,39821003
7414060028318,91624,00642880
9908672758117,38869,87417524
1702049270305,34709,22101464
3577162486531,42259,33610818
4527307388670,27957,46517043
4232747611218,28534,74203727
5474964378997,21863,11731535
6453823523180,90203,65571903
7690562520073,92293,50886906
3668414786988,88452,97680383
4885950224852,58343,58524299
9060318471030,30444,83155956
1489604332035,88688,70752168
6824687649772,47339,40091228
8087846689325,65706,26666235
3093369419870,68818,79055260
7927969793114,60644,89961315
3081808098250,71707,56102994
8546729028410,44314,43375134
5979544839795,40699,98618019
0350253417781,31011,14917257
7725900675297,93005,55685870
3246946723161,28310,51311674
2486668883137,37210,72498248
7835142791645,15751,97886679
1615750329630,56561,52680939
2264171550254,66644,54878433
7455578213421,43257,16531901
8391917520906,50413,42269694
4977001027557,46364,07452277
1306355612370,17665,41971338
4009679864629,21713,53164216
9455544417479,93834,58873267
7657880557273,70134,42609834
5997967605636,29237,15046321
7294121654409,55426,06766443
6112311875834,52725,47299979
3513109585134,82846,34694893
1054103277073,73082,79264198
1805987319430,93339,81650842
9203037579704,67404,75162436
1020988278528,16756,06949532
2072886030486,46319,06929374
4497631223063,30651,63629996
4914192613398,23940,69200168
7774708159720,74301,88314648
1950719256726,10672,43355440
7448164657280,48697,96529065
7385023541017,17914,07252624
0117747737257,31824,20863227
4865559810113,24951,24541817
2370577126235,19698,09007277
8826072227280,60973,86697422
3932864367531,91603,38935237
6264853031053,32799,25477979
9103392358283,72475,89435243
8871421415900,23262,30526242
6524435026281,41519,29373000
3035163431078,95826,04208082
5649550306382,90050,52980855
0840176723293,92953,15879172
6398915969104,91079,57869155
8251248330806,29368,46478078
1763520310576,16284,60341907
4129738384445,38030,87180862
2158164199103,36226,77718822
3076552754040,93212,90569821
7394205597582,68939,40123899
4668786971882,74579,25757590
1261796806682,48267,87260830
6161360093867,12894,72213667
9052202773078,48044,31649995
0961435201458,34564,87470697
2658719287960,20441,07547560
5659856827528,43237,38706875
6079284668538,53281,06377830
9027890250194,56196,88156965
1254216683666,76402,66613015
1144955612884,53026,50108763
9431267932673,19151,24010542
0235164197741,11623,28771814
8664753748149,81923,33048185
0554072539598,20038,98773961
7489279059576,86948,54984820
7795255151845,60024,00497916
4037861115679,72531,38388309
8258348213831,28112,86038768
4371954576290,54332,19669441
2424901477897,60464,25088502
4510929516330,81645,60358080
7367877599871,75474,27942062
4636598355091,90170,69572203
3606448322697,36361,32110739
5042457418576,16979,52109171
9858668821762,32929,28486398
4285524209733,88789,46516732
0917501861125,55783,15216205
1654018688676,93962,15902405
8444800229407,22663,34099254
7085734851138,39190,64358529
3097467552057,22467,63113822
2463116381025,31354,44829667
1909632004006,70190,28947394
7015063103165,67480,14940941
4296218500715,71669,11043850
3777529626833,65321,16222168
0259399259180,80265,89684597
0260013015501,58592,01983203
5018426559908,80408,74121595
9872146132751,35317,48467025
2333090391078,18953,33712284
5992563262030,73495,02663142
8542577881764,31547,76078859
7750310656079,26127,24268493
4386426359325,59901,98389759
1225051505932,99402,42972341
1170677595549,20546,03762349
1630218274734,93929,02488165
8092792180161,42054,83627163
5970382814449,56190,75457785
0069854247542,80438,02706764
8127875174772,14881,79545716
0347405476307,34405,30525603
9713143576141,46958,55211550
7711610834970,39056,76043079
0367352617899,53325,81837465
2500383544316,74139,33337937
0309570727721,62327,28619413
7036086590558,86998,45269882
1153416234824,80860,24436717
0122558090163,21602,90815560
3025926110784,90172,95501604
9514567971426,21209,42989783
1625348740396,94882,96098066
5405930177269,36133,59615033
3493193490012,90753,80316794
0802905696308,82455,97317449
2945687649655,64335,00070300
2322230688673,49748,61838222
3637125815430,68426,79169868
3799272055005,67181,31460354
3122114338477,57161,22517852
4435587578318,44502,31760799
4386655279272,74361,73908043
7742794848330,89362,58967492
0773968174310,64465,52452611
4479782977330,74554,25624571
0104655433586,82053,83370359
8436895195552,74940,42979494
8590973416448,20989,83754845
2373167881323,75202,62034838
0710403549807,79164,41857687
5102551781188,82614,41378267
8107428398169,20074,06604356
0462574001041,80303,15217967
2426736548742,20004,07826382
6766278486154,84362,09696242
4175275336263,67111,97256120
6386275567047,89239,72456675
