DeliveryID,Scheduled_time,Actual_time,Cost,Handled_ComID,Deliverd_ToID
1676236233254,2020-06-05,2020-06-07,2946,64484815,1504426404590
2887577798480,2020-10-16,2020-10-15,2605,74510849,2961354281409
3872031648110,2021-02-19,2021-02-21,2110,99758561,3854604349730
7258831630122,2022-12-26,2022-12-28,2494,11682431,5929949051407
4794530416580,2011-10-11,2011-10-10,4046,48893893,6062448611655
6488535649026,2022-06-15,2022-06-14,4682,06233846,1534059951895
6310099147871,2019-07-21,2019-07-20,3449,28020196,2693460532792
0359633622838,2018-01-20,2018-01-20,1777,79072663,3864417585003
9052479248262,2018-07-09,2018-07-09,3655,92045026,2844503650007
8442434954443,2021-12-09,2021-12-08,1096,98464388,9417198332904
6957038096137,2021-02-20,2021-02-19,4365,89689134,1963976082779
2758397810785,2015-08-08,2015-08-09,1270,53368263,0274669740304
2573221969756,2019-06-11,2019-06-12,1789,91623911,2616273103492
6330201807769,2016-07-29,2016-07-28,2774,03299746,9232101020248
9747636900366,2015-05-22,2015-05-20,4267,28437451,0886110585169
5022795751801,2012-07-25,2012-07-27,4967,46154408,3796362755067
5936918630242,2016-03-16,2016-03-17,2865,74171804,8856473166833
8461894559562,2022-05-14,2022-05-14,1272,97633440,5253000738168
8929734985549,2015-09-29,2015-09-27,1922,28250548,7130985846775
5850816606393,2014-10-09,2014-10-08,3252,47776432,9039354293586
8285813523720,2020-05-17,2020-05-19,1008,10689806,3162814416358
8243227355863,2017-08-09,2017-08-07,1347,46559784,7667316966685
9222798153282,2021-08-24,2021-08-22,4224,79854245,6232006687587
2068925469782,2019-11-13,2019-11-12,2922,95846286,3908827076550
1823272525052,2012-02-04,2012-02-06,4768,81142248,6803998300749
8266044489733,2021-08-16,2021-08-18,1440,49708295,2826847130513
1739375549201,2017-01-10,2017-01-12,1589,63780307,1498926263057
9539013593755,2011-12-03,2011-12-04,2896,63320305,1936337197528
9808325540727,2016-09-16,2016-09-18,3748,13925178,1357170725172
7802906622002,2014-06-10,2014-06-09,4425,97638636,7724944619151
6185965611943,2022-08-12,2022-08-13,1035,13528324,0184145780918
9438208464927,2018-06-10,2018-06-10,2431,34448731,9751420335562
6917111323734,2020-07-22,2020-07-23,3078,58508091,8343804271651
7535195153154,2014-04-09,2014-04-10,1459,67341573,6930925748012
6440155130537,2022-12-08,2022-12-10,2950,21593970,3202095385377
4890560288590,2019-11-12,2019-11-12,2564,41525319,3825051403542
8649733337063,2022-05-19,2022-05-21,4490,46824134,0065062700282
2162864400933,2017-01-10,2017-01-12,3711,23355309,4375872637507
4728876728793,2017-01-03,2017-01-05,1698,72464557,9343767903094
6790771546268,2014-04-14,2014-04-12,3740,42202707,2360657296439
9736855454958,2021-06-24,2021-06-26,4783,22487032,8656059411056
9331108735275,2016-03-02,2016-03-01,2380,80064800,9961391628123
2860576354284,2018-09-26,2018-09-24,1283,35723738,3518343859782
2317489434782,2021-10-01,2021-10-03,1144,97530459,7336145947874
4926530229901,2019-06-21,2019-06-23,1971,24217903,4725557823525
6377209668251,2017-10-21,2017-10-19,1122,74368990,3127450250698
4743745030371,2016-09-11,2016-09-10,3957,94615906,3719999020551
1049249487486,2018-06-03,2018-06-03,1819,61122925,7275185166411
5395855132651,2018-11-24,2018-11-24,3447,91385734,2847276860918
6797375463458,2021-01-13,2021-01-15,4636,75373047,9765462993413
2414777018379,2016-02-13,2016-02-13,2465,75069674,4755276644224
9025496958865,2021-01-28,2021-01-26,2144,48202084,4280498754241
8299088462578,2019-07-30,2019-08-01,1034,67562442,1231219469978
2877758199144,2013-11-24,2013-11-26,4705,94089363,2562790245095
9976446505335,2015-12-17,2015-12-16,1643,10445365,2688835589617
5806679030707,2012-03-19,2012-03-19,3340,52708589,5645359692114
1120528485833,2011-02-19,2011-02-21,3275,65687192,6924624148969
3387252332835,2014-02-13,2014-02-14,2028,55664929,2305712810694
4634189784251,2022-11-16,2022-11-18,1311,95449302,2784686226265
4188750325898,2022-08-02,2022-07-31,1348,19724263,4864344510771
7729490003904,2022-11-22,2022-11-21,3607,72508565,6543850930621
5040251173523,2020-06-01,2020-06-02,3118,40111674,8177507049107
0832928408510,2013-11-16,2013-11-16,4086,02307404,1802183548374
6696361094204,2012-10-10,2012-10-12,4327,07626630,5531423705050
8768127049440,2015-04-02,2015-04-01,1596,61827011,3240567248690
9145407526928,2017-11-14,2017-11-14,4959,45849817,3422292768340
2531885731409,2015-06-16,2015-06-18,4630,74749546,0586393794974
7144052148648,2021-12-03,2021-12-02,2827,91429063,8559619078860
5239653621279,2015-11-29,2015-11-30,4019,44259433,4346694648255
2732058409839,2018-09-06,2018-09-06,4464,41290828,6783527908762
6269357657433,2011-04-26,2011-04-24,4989,65340325,7264997550600
9267612220696,2015-10-18,2015-10-18,4923,18194449,0652250916633
0679209888933,2014-06-21,2014-06-21,1765,39004420,1565968076690
8452064423127,2020-04-06,2020-04-05,3281,48178396,1449581615187
2709012077779,2016-07-27,2016-07-28,2525,73228608,1077806718230
9226902130817,2015-12-04,2015-12-03,3020,20807016,5259068271517
5246973629663,2018-03-20,2018-03-19,4217,77748577,0326771712073
3737373293483,2017-12-06,2017-12-08,3212,30725577,8639970395018
5845843655179,2016-02-08,2016-02-06,3931,57026411,7078503702441
6385774984683,2015-05-04,2015-05-06,1515,86136389,2300735425641
6264785573904,2013-04-06,2013-04-06,4140,11230465,7346501432197
8698476382311,2016-03-06,2016-03-07,1990,95939476,6401017471243
0922027851291,2019-01-01,2019-01-03,2113,87918427,4356665622580
8693366442144,2011-07-04,2011-07-03,3887,98668021,9858513969496
8031764280393,2014-11-30,2014-11-28,4690,84139399,7997625794618
4093349462895,2011-10-28,2011-10-26,2757,58013168,4249938322778
2879776330523,2016-08-28,2016-08-28,2019,37429669,5632163096252
7217662595925,2012-11-11,2012-11-10,4336,20899745,3665658288339
7988816265352,2015-09-30,2015-10-01,3993,96200827,7433776801428
2003597565219,2016-12-07,2016-12-06,4242,84934307,2928628356348
2873377687963,2013-05-08,2013-05-08,2963,29844739,3714112608197
5558331647425,2018-05-05,2018-05-06,3578,70416237,5174739078694
0473299650841,2022-11-11,2022-11-09,4177,70084283,2483239800272
1009661285831,2016-05-19,2016-05-19,1696,35668725,3599669473524
7560436255281,2013-07-13,2013-07-13,4533,10847541,4896699093869
6795033700877,2012-07-16,2012-07-16,2479,61602526,7382168420887
0771034729518,2015-09-25,2015-09-24,1136,01382426,1478284739562
