OrderID,Paced_Data_Time,Payment_Type
7838488642442,1996-03-09 21:10:39,credit card
3304138798424,1992-02-04 09:18:46,check
1594391114464,1980-11-05 12:44:33,cash
4378893709697,2010-09-15 18:30:06,credit card
5540087189663,1976-06-17 16:27:30,credit card
3288552589809,2003-05-15 21:58:53,credit card
9212719428315,1983-09-23 02:55:58,credit card
2887696267461,1980-04-02 05:41:22,check
5042653502536,1996-03-07 01:52:39,credit card
4280911079876,1970-11-24 23:55:52,cash
3016858109229,1997-09-03 16:42:05,check
5708466551788,1987-10-24 19:07:18,cash
7118794114209,1988-11-10 02:20:52,credit card
9477455366783,2000-06-22 10:25:34,cash
8548163782712,2015-07-09 07:48:50,cash
9549538712258,2000-07-15 05:45:42,check
9614674547467,1973-08-18 19:29:01,check
3253261990659,2003-06-02 01:16:13,cash
5870166161076,2016-03-12 20:08:45,credit card
2494026903946,1983-03-18 05:27:46,cash
0723755796690,1985-11-29 18:17:08,cash
5608841190031,2013-04-21 06:07:14,check
6396797638705,2019-12-24 03:26:30,credit card
4288074151835,2013-11-26 22:27:38,cash
0865193647735,2010-11-14 22:23:30,credit card
0060603077663,2019-07-20 10:10:44,cash
2064330459912,2005-07-19 07:32:19,credit card
4486273708007,2015-11-26 07:35:28,cash
7250109331694,2020-09-09 18:05:55,credit card
3497875654761,2022-10-22 06:01:32,check
7824487560917,1983-08-31 22:20:15,check
6528007850250,2000-06-15 05:56:38,cash
6333895801266,1976-04-04 08:36:56,check
2146282235667,1978-07-27 21:34:49,credit card
6570653927879,1979-05-26 23:55:03,check
1031407039712,1981-11-30 18:43:42,cash
1162797329593,1974-03-25 00:35:20,credit card
7276198519614,2002-12-06 08:30:33,check
9219804223251,1984-10-23 12:21:58,credit card
9764403259991,2004-12-05 05:41:47,check
5645767469872,1985-02-06 08:35:51,check
9917962691775,1999-08-28 01:48:53,cash
5030924413070,2005-06-20 07:43:35,credit card
7584927115120,1988-08-20 08:36:35,cash
6217190070438,2011-05-31 08:19:50,credit card
6727153116757,2012-01-23 15:19:14,check
6210028602511,1977-03-29 08:41:19,credit card
4669029228640,2017-01-03 17:59:34,cash
