Product ID,Product Name,Cost,Size (Cub Feet),Warranty
8541335302480,Custom Air Handling Units,45025,739,Base Limited Warranty
6480817416227,Fan Coils,27751,1829,Base Limited Warranty
5983293660319,Electric Duct Heaters,38069,1428,Base Limited Warranty
6166008497533,Thermal Storage Systems,46349,2591,Base Limited Warranty
3550716201842,Thermal Storage Systems,35676,1808,Optional Extended Warranty
8612056496588,Plume exhaust fans,31889,1251,Optional Extended Warranty
5209883114797,Roofcurbs,34955,1370,Optional Extended Warranty
6542578742110,Custom Air Handling Units,49201,1373,Registered Limited Warranty
5006149707218,Custom Air Handling Units,7617,2121,Base Limited Warranty
2302989168664,Electric Duct Heaters,45414,2189,Base Limited Warranty
7806412171504,Plume exhaust fans,24734,2081,Base Limited Warranty
2093025281026,Plume exhaust fans,25010,1592,Base Limited Warranty
4905096076044,Electric Duct Heaters,32785,2098,Base Limited Warranty
9450815175416,Evaporative Coolers,45047,2094,Optional Extended Warranty
9971869018325,Absorption Chillers,11817,1700,Optional Extended Warranty
3173598681344,Roofcurbs,8138,2339,Registered Limited Warranty
1260779484053,Fan Coils,31854,2289,Registered Limited Warranty
4415455239794,Evaporative Coolers,44965,980,Base Limited Warranty
4674821594282,Floor Mount,34023,2411,Optional Extended Warranty
3734670283391,Roofcurbs,26800,1032,Registered Limited Warranty
2220879568823,Roofcurbs,34409,2765,Optional Extended Warranty
2493004899608,Thermal Storage Systems,10483,997,Optional Extended Warranty
4019654220289,Plume exhaust fans,46043,1523,Registered Limited Warranty
7651004536434,Absorption Chillers,30755,2903,Registered Limited Warranty
5233584120115,Plume exhaust fans,19078,2316,Base Limited Warranty
7247936173542,Custom Air Handling Units,21111,879,Optional Extended Warranty
9382902005361,Evaporative Coolers,46370,1117,Optional Extended Warranty
8866978056676,Floor Mount,23571,1936,Registered Limited Warranty
3444693966156,Evaporative Coolers,42777,886,Optional Extended Warranty
7294003689000,Commerial Humidifers,25789,2792,Registered Limited Warranty
0697714806501,Electric Duct Heaters,19903,1954,Base Limited Warranty
0076006055344,Thermal Storage Systems,23998,752,Base Limited Warranty
4734031679961,Custom Air Handling Units,25126,1471,Base Limited Warranty
8153655498530,Thermal Storage Systems,34546,2711,Base Limited Warranty
7502839236535,Commerial Humidifers,12186,2138,Base Limited Warranty
1964491820235,Fan Coils,33381,2338,Optional Extended Warranty
1997611068293,Evaporative Coolers,30981,1115,Registered Limited Warranty
7707973803913,Air Cleaning Systems,46283,1829,Registered Limited Warranty
8447091249154,Roofcurbs,49679,2947,Base Limited Warranty
8384199521709,Evaporative Coolers,46730,1166,Base Limited Warranty
4568979832290,Air Cleaning Systems,31668,763,Registered Limited Warranty
3158927987083,Evaporative Coolers,27982,1280,Registered Limited Warranty
0731439477452,Roofcurbs,46223,1975,Registered Limited Warranty
7185860041684,Floor Mount,22401,837,Registered Limited Warranty
7816912089179,Fan Coils,38371,2361,Base Limited Warranty
6178749596994,Floor Mount,17222,1344,Optional Extended Warranty
0084870684805,Evaporative Coolers,15022,853,Base Limited Warranty
4503107100148,Custom Air Handling Units,32416,2940,Base Limited Warranty
1783442855276,Air Cleaning Systems,20549,1460,Base Limited Warranty
7398038767129,Floor Mount,46736,1120,Base Limited Warranty
3905356337329,Commerial Humidifers,12963,736,Optional Extended Warranty
7308745954422,Roofcurbs,19866,1311,Registered Limited Warranty
1450678293508,Custom Air Handling Units,15387,1987,Optional Extended Warranty
4429040113161,Evaporative Coolers,45827,1565,Registered Limited Warranty
4408755151019,Plume exhaust fans,38281,1318,Optional Extended Warranty
5864574605208,Roofcurbs,20516,2923,Registered Limited Warranty
1961937780924,Evaporative Coolers,32769,1503,Base Limited Warranty
0951724226903,Electric Duct Heaters,27294,2775,Optional Extended Warranty
6565701267274,Air Cleaning Systems,15908,970,Registered Limited Warranty
8063198745339,Thermal Storage Systems,31610,1114,Optional Extended Warranty
2357127015232,Electric Duct Heaters,9809,1122,Base Limited Warranty
4954221466809,Evaporative Coolers,43299,1766,Registered Limited Warranty
6843207009674,Commerial Humidifers,33919,1799,Optional Extended Warranty
7527063153267,Floor Mount,34304,2921,Registered Limited Warranty
