Quote ID,Quote time,Expired Time,Cost
6290301965793,2018-02-17,2018-03-19,24044
0196003390122,2021-06-19,2021-07-19,6209
3092403379729,2018-07-19,2018-08-18,39803
1509303452404,2019-03-03,2019-04-02,9601
7840089304902,2018-02-14,2018-03-16,45744
3360845116647,2021-07-29,2021-08-28,44153
8683746176950,2018-02-19,2018-03-21,20940
4073813233978,2021-01-22,2021-02-21,43783
6601205093367,2021-06-28,2021-07-28,24444
5761418773171,2019-09-26,2019-10-26,22361
0415351505317,2021-10-01,2021-10-31,21125
4546213596429,2021-10-21,2021-11-20,40290
9851549113963,2019-03-20,2019-04-19,10733
7699199147936,2020-02-08,2020-03-09,19229
5241369030825,2018-01-25,2018-02-24,30548
1689987723882,2019-04-16,2019-05-16,7323
0429638854340,2021-04-01,2021-05-01,45438
6985336394495,2021-01-27,2021-02-26,22690
9787092017284,2018-05-03,2018-06-02,5220
7779154144221,2018-10-16,2018-11-15,41526
2206060939474,2020-03-03,2020-04-02,28484
9840658302986,2022-03-24,2022-04-23,43975
7428580134992,2019-04-27,2019-05-27,25053
2059998814715,2021-05-25,2021-06-24,18272
6508509577602,2022-02-10,2022-03-12,16705
3726549017466,2018-05-31,2018-06-30,33982
3733571883549,2019-09-21,2019-10-21,36464
8446500756511,2021-03-05,2021-04-04,41880
0804329307013,2021-09-26,2021-10-26,5601
1221182970922,2021-09-12,2021-10-12,10784
8230867473057,2020-09-16,2020-10-16,21140
4848677558662,2019-10-11,2019-11-10,42726
9584572112725,2020-01-23,2020-02-22,9118
9466118903984,2020-01-01,2020-01-31,38571
7749389037100,2019-05-11,2019-06-10,46422
2146225017800,2019-05-12,2019-06-11,13256
4284826246903,2020-02-18,2020-03-19,15045
0165902726677,2018-11-23,2018-12-23,46549
4935196350812,2022-01-26,2022-02-25,40978
0396661377095,2021-07-10,2021-08-09,29314
4767641937923,2018-01-10,2018-02-09,33686
1058163816586,2020-04-19,2020-05-19,12097
6765412728204,2020-08-18,2020-09-17,46254
9831993363879,2022-08-02,2022-09-01,46619
6328484390306,2019-03-18,2019-04-17,48078
8137967955202,2020-10-27,2020-11-26,14802
1300731031915,2018-04-21,2018-05-21,40810
5466832813921,2019-09-29,2019-10-29,19947
8612245806044,2021-05-30,2021-06-29,31712
3084166285744,2021-11-19,2021-12-19,38652
0267636025399,2022-11-06,2022-12-06,45599
0388779531544,2018-01-04,2018-02-03,32385
5180023744497,2021-07-12,2021-08-11,6400
5890344416637,2020-03-04,2020-04-03,43406
9750341547825,2018-06-14,2018-07-14,11501
8841182755294,2019-09-13,2019-10-13,10806
2615285054167,2022-08-05,2022-09-04,39235
5063113787355,2021-03-28,2021-04-27,31557
1551801963081,2018-12-09,2019-01-08,16930
9277926947332,2022-03-31,2022-04-30,12482
6219880974910,2020-12-13,2021-01-12,19709
2406709580382,2021-08-13,2021-09-12,36680
7928913462810,2019-12-28,2020-01-27,49559
9264273840584,2021-06-25,2021-07-25,20796
7657752870424,2019-08-05,2019-09-04,41455
8544414985833,2021-10-15,2021-11-14,37243
2906300697255,2018-08-03,2018-09-02,49346
1945025888617,2021-11-02,2021-12-02,32823
7104137798663,2019-07-17,2019-08-16,27672
6261779706072,2019-03-20,2019-04-19,20308
2793966409625,2020-12-17,2021-01-16,48182
2086103344638,2022-08-27,2022-09-26,12999
5566607840852,2018-11-22,2018-12-22,47210
8312750369088,2018-12-03,2019-01-02,16629
1773405964770,2020-04-07,2020-05-07,8568
2995069603775,2021-05-10,2021-06-09,47636
9652749772697,2022-07-30,2022-08-29,34687
2373280670576,2020-08-29,2020-09-28,31503
6298124729356,2022-02-01,2022-03-03,12199
5515872476372,2018-08-25,2018-09-24,49089
0354445639227,2019-02-06,2019-03-08,11282
7657630043650,2020-04-21,2020-05-21,43895
7458516838090,2022-04-14,2022-05-14,22550
8904604707612,2020-01-07,2020-02-06,34245
0355870801678,2020-06-20,2020-07-20,23074
1743734879977,2021-01-29,2021-02-28,34906
9663479445317,2018-10-22,2018-11-21,44074
5879425036841,2022-09-15,2022-10-15,36353
9553351284625,2021-10-19,2021-11-18,47862
6909198646295,2020-02-07,2020-03-08,11656
2169782026344,2018-04-21,2018-05-21,9352
9705033831386,2022-03-13,2022-04-12,27654
1494456006102,2020-10-26,2020-11-25,5800
8222338632445,2018-08-09,2018-09-08,6808
0212863848976,2018-10-28,2018-11-27,33109
2076504914332,2019-01-04,2019-02-03,42819
5139917752735,2022-01-21,2022-02-20,33066
2935853346204,2022-04-30,2022-05-30,44993
4638389227518,2019-02-24,2019-03-26,11735
0726713875789,2020-11-14,2020-12-14,27799
2248844373777,2019-06-13,2019-07-13,48553
5165607412054,2018-11-06,2018-12-06,9542
0680086704506,2021-05-27,2021-06-26,33531
2681013850592,2022-04-25,2022-05-25,6758
2999577869708,2018-06-10,2018-07-10,31752
7721761191792,2019-01-11,2019-02-10,34226
1695800832570,2022-03-01,2022-03-31,48096
3103060047972,2020-12-23,2021-01-22,16758
1745745259632,2021-08-21,2021-09-20,12644
9757794995616,2021-12-07,2022-01-06,38147
0165581647614,2022-05-12,2022-06-11,39411
3057076432911,2020-09-23,2020-10-23,12798
6234503433766,2020-04-05,2020-05-05,9283
0032764259974,2018-07-24,2018-08-23,7506
2495476075764,2022-05-18,2022-06-17,43348
4259107143103,2019-01-08,2019-02-07,25457
8351206375228,2021-10-06,2021-11-05,9772
7186525917467,2022-02-07,2022-03-09,38959
5729682938412,2018-04-30,2018-05-30,41661
4788512061615,2022-06-03,2022-07-03,42143
5304982917178,2019-11-22,2019-12-22,37006
3276659543459,2020-03-24,2020-04-23,48446
