SiteID,Street Num,Street Name,State,ZipCode,Unit,Site Name,Property_type
1504426404590,0885,Andrea Cove,MD,88005,A,"Rice, Chen and Burns",residential
2961354281409,00174,Smith Coves,ME,34616,B,"Reyes, Bray and Young",residential
3854604349730,39754,John Mountain,TX,77354,B,Richards-Jenkins,commerical
5929949051407,0581,Chad Burgs,KS,62322,B,Roberts LLC,residential
6062448611655,9936,Daniel Rapids,ND,95076,C,Shepard Ltd,commerical
1534059951895,2551,Collins Forges,NH,14162,B,Butler Group,commerical
2693460532792,308,Andrew Valleys,LA,06534,C,Johnson-Martinez,commerical
3864417585003,69612,Brian Ridges,NE,08597,C,Tyler PLC,residential
2844503650007,2578,Marcus Mountains,AR,67144,B,Carter-Burns,residential
9417198332904,25242,Dalton Courts,MO,42469,B,Taylor-Porter,commerical
1963976082779,48284,Victoria Dale,MN,20135,A,Copeland and Sons,commerical
0274669740304,010,Tim River,KY,42521,A,"Flores, Cervantes and Townsend",commerical
2616273103492,086,Fields Groves,HI,66120,A,"Smith, Miller and Watts",residential
9232101020248,44970,Michael Square,MO,32983,C,Smith-Griffin,commerical
0886110585169,150,Mullins Road,NM,98433,A,Harrison Ltd,residential
3796362755067,00487,Peterson Underpass,FL,43829,A,Benson PLC,residential
8856473166833,41424,Henry Trafficway,MT,81269,A,Grant and Sons,residential
5253000738168,8581,Kenneth Falls,AZ,94174,B,Ramirez-Moore,commerical
7130985846775,2332,Beard Way,ND,02653,C,"Knight, Johnston and Rhodes",residential
9039354293586,238,William Lakes,OR,02187,C,"Smith, Torres and Hughes",commerical
3162814416358,0663,Rivera Underpass,IA,04646,C,"Watson, Griffin and Rivera",commerical
7667316966685,1862,Cook Plaza,SD,47192,C,Johnson-Cooper,residential
6232006687587,75689,Rebecca Unions,LA,76704,B,Burns Ltd,commerical
3908827076550,281,Stacey Station,MI,15767,A,Torres-Andrade,commerical
6803998300749,3924,Lewis Mill,WI,25616,B,Rodriguez-Jackson,commerical
2826847130513,9303,Martinez Burg,GA,69827,C,Whitehead-Aguirre,residential
1498926263057,388,Kennedy Glen,TN,09611,B,Drake-Murphy,commerical
1936337197528,03879,Gross Ways,IA,63194,B,Miranda Ltd,residential
1357170725172,10263,Hernandez Pass,RI,46143,A,Robinson and Sons,commerical
7724944619151,6762,Williams Ports,NH,57619,B,Vaughn PLC,commerical
0184145780918,24199,Galvan Avenue,ME,19746,C,Guerrero Inc,residential
9751420335562,669,Daniel Freeway,NH,58635,A,"Hill, Walker and Beltran",residential
8343804271651,7338,Wilson Lakes,WV,07924,A,"Snyder, Burns and Hall",commerical
6930925748012,62597,Mitchell Well,UT,87817,B,Gomez Ltd,commerical
3202095385377,274,Morris Tunnel,VT,20190,A,Byrd Group,residential
3825051403542,60055,Johnson Turnpike,CT,99562,C,Howe LLC,residential
0065062700282,94764,Keith Divide,NV,14835,A,Walker-Morris,residential
